system,metric,mean,ci95_low,ci95_high,count
baseline,retrieval.accepted.relevant_count,1.2222222222222223,1.1388888888888888,1.2962962962962963,108
baseline,retrieval.all_rounds.document_recall@1,0.8101851851851852,0.75,0.8703703703703703,108
baseline,retrieval.all_rounds.document_recall@3,0.9583333333333334,0.9259259259259259,0.9861111111111112,108
baseline,retrieval.all_rounds.document_recall@5,0.9953703703703703,0.9861111111111112,1.0,108
baseline,retrieval.all_rounds.hitrate@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.all_rounds.hitrate@3,0.9722222222222222,0.9351851851851852,1.0,108
baseline,retrieval.all_rounds.hitrate@5,1.0,1.0,1.0,108
baseline,retrieval.all_rounds.matches@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.all_rounds.matches@3,1.1388888888888888,1.0648148148148149,1.212962962962963,108
baseline,retrieval.all_rounds.matches@5,1.212962962962963,1.1386574074074074,1.287037037037037,108
baseline,retrieval.all_rounds.mrr,0.9354938271604938,0.8981327160493827,0.9675925925925926,108
baseline,retrieval.all_rounds.ndcg@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.all_rounds.ndcg@3,0.9184329265143741,0.8794556237911206,0.9545004727015673,108
baseline,retrieval.all_rounds.ndcg@5,0.9412205644498474,0.9141667235188733,0.9670509591621225,108
baseline,retrieval.all_rounds.precision@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.all_rounds.precision@3,0.3796296296296296,0.35493827160493824,0.40432098765432095,108
baseline,retrieval.all_rounds.precision@5,0.2425925925925926,0.2277314814814815,0.2574074074074074,108
baseline,retrieval.all_rounds.recall@1,0.7870370370370371,0.7222222222222222,0.8518518518518519,108
baseline,retrieval.all_rounds.recall@3,0.9444444444444444,0.9074074074074074,0.9768518518518519,108
baseline,retrieval.all_rounds.recall@5,0.9953703703703703,0.9861111111111112,1.0,108
baseline,retrieval.all_rounds.relevant_count,1.2222222222222223,1.1388888888888888,1.2962962962962963,108
baseline,retrieval.final.document_recall@1,0.8101851851851852,0.75,0.8703703703703703,108
baseline,retrieval.final.document_recall@3,0.9583333333333334,0.9259259259259259,0.9861111111111112,108
baseline,retrieval.final.document_recall@5,0.9953703703703703,0.9861111111111112,1.0,108
baseline,retrieval.final.hitrate@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.final.hitrate@3,0.9722222222222222,0.9351851851851852,1.0,108
baseline,retrieval.final.hitrate@5,1.0,1.0,1.0,108
baseline,retrieval.final.matches@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.final.matches@3,1.1388888888888888,1.0648148148148149,1.212962962962963,108
baseline,retrieval.final.matches@5,1.212962962962963,1.1386574074074074,1.287037037037037,108
baseline,retrieval.final.mrr,0.9354938271604938,0.8981327160493827,0.9675925925925926,108
baseline,retrieval.final.ndcg@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.final.ndcg@3,0.9184329265143741,0.8794556237911206,0.9545004727015673,108
baseline,retrieval.final.ndcg@5,0.9412205644498474,0.9141667235188733,0.9670509591621225,108
baseline,retrieval.final.precision@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.final.precision@3,0.3796296296296296,0.35493827160493824,0.40432098765432095,108
baseline,retrieval.final.precision@5,0.2425925925925926,0.2277314814814815,0.2574074074074074,108
baseline,retrieval.final.recall@1,0.7870370370370371,0.7222222222222222,0.8518518518518519,108
baseline,retrieval.final.recall@3,0.9444444444444444,0.9074074074074074,0.9768518518518519,108
baseline,retrieval.final.recall@5,0.9953703703703703,0.9861111111111112,1.0,108
baseline,retrieval.final.relevant_count,1.2222222222222223,1.1388888888888888,1.2962962962962963,108
baseline,retrieval.round1.document_recall@1,0.8101851851851852,0.75,0.8703703703703703,108
baseline,retrieval.round1.document_recall@3,0.9583333333333334,0.9259259259259259,0.9861111111111112,108
baseline,retrieval.round1.document_recall@5,0.9953703703703703,0.9861111111111112,1.0,108
baseline,retrieval.round1.hitrate@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.round1.hitrate@3,0.9722222222222222,0.9351851851851852,1.0,108
baseline,retrieval.round1.hitrate@5,1.0,1.0,1.0,108
baseline,retrieval.round1.matches@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.round1.matches@3,1.1388888888888888,1.0648148148148149,1.212962962962963,108
baseline,retrieval.round1.matches@5,1.212962962962963,1.1386574074074074,1.287037037037037,108
baseline,retrieval.round1.mrr,0.9354938271604938,0.8981327160493827,0.9675925925925926,108
baseline,retrieval.round1.ndcg@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.round1.ndcg@3,0.9184329265143741,0.8794556237911206,0.9545004727015673,108
baseline,retrieval.round1.ndcg@5,0.9412205644498474,0.9141667235188733,0.9670509591621225,108
baseline,retrieval.round1.precision@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.round1.precision@3,0.3796296296296296,0.35493827160493824,0.40432098765432095,108
baseline,retrieval.round1.precision@5,0.2425925925925926,0.2277314814814815,0.2574074074074074,108
baseline,retrieval.round1.recall@1,0.7870370370370371,0.7222222222222222,0.8518518518518519,108
baseline,retrieval.round1.recall@3,0.9444444444444444,0.9074074074074074,0.9768518518518519,108
baseline,retrieval.round1.recall@5,0.9953703703703703,0.9861111111111112,1.0,108
baseline,retrieval.round1.relevant_count,1.2222222222222223,1.1388888888888888,1.2962962962962963,108
agentic,agentic.retrieval_rounds,1.125,1.0666666666666667,1.1833333333333333,120
agentic,agentic.rewritten,0.125,0.06666666666666667,0.18333333333333332,120
agentic,agentic.verified,0.9,0.85,0.95,120
agentic,answer.citation_coverage,0.5447179781003311,0.490016121031746,0.5982718691643324,120
agentic,answer.citation_validity,1.0,1.0,1.0,107
agentic,answer.forbidden_claim_rate,0.0,0.0,0.0,118
agentic,answer.required_claim_coverage,0.029239766081871343,0.0029239766081871343,0.06432748538011696,114
agentic,answer.token_f1,0.3477343883632939,0.31613009601705694,0.37731573110434785,120
agentic,decision.correct_abstention,0.8333333333333334,0.5833333333333334,1.0,12
agentic,decision.false_answer,0.16666666666666666,0.0,0.4166666666666667,12
agentic,decision.false_rejection,0.018518518518518517,0.0,0.046296296296296294,108
agentic,decision.found_accuracy,0.9666666666666667,0.9333333333333333,0.9916666666666667,120
agentic,performance.error,0.0,0.0,0.0,120
agentic,performance.estimated_cost_cny,0.004571373333333333,0.0043185511,0.004846306933333333,120
agentic,performance.input_tokens,2612.516666666667,2481.0920833333334,2744.8610416666666,120
agentic,performance.latency_ms,12756.575,11969.738541666668,13618.838541666668,120
agentic,performance.output_tokens,1008.175,931.8635416666666,1094.3779166666666,120
agentic,ragas.answer_correctness,0.47200000000000003,0.4091604166666667,0.5280208333333334,120
agentic,ragas.answer_relevancy,0.7749265535443541,0.71385852726403,0.8348505877934096,120
agentic,ragas.context_precision,0.8828828828087087,0.8220533032350422,0.9406906906136336,111
agentic,ragas.context_recall,0.9734234234234235,0.9513513513513514,0.9924924924924925,111
agentic,ragas.faithfulness,0.8556120056120056,0.8147952147952148,0.8947233222233222,111
agentic,retrieval.accepted.document_recall@1,0.8287037037037037,0.7685185185185185,0.8842592592592593,108
agentic,retrieval.accepted.document_recall@3,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
agentic,retrieval.accepted.document_recall@5,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
agentic,retrieval.accepted.hitrate@1,0.9074074074074074,0.8516203703703704,0.9629629629629629,108
agentic,retrieval.accepted.hitrate@3,1.0,1.0,1.0,108
agentic,retrieval.accepted.hitrate@5,1.0,1.0,1.0,108
agentic,retrieval.accepted.matches@1,0.9074074074074074,0.8516203703703704,0.9629629629629629,108
agentic,retrieval.accepted.matches@3,1.1851851851851851,1.1111111111111112,1.2592592592592593,108
agentic,retrieval.accepted.matches@5,1.1851851851851851,1.1111111111111112,1.2592592592592593,108
agentic,retrieval.accepted.mrr,0.9537037037037037,0.9258101851851852,0.9814814814814815,108
agentic,retrieval.accepted.ndcg@1,0.9074074074074074,0.8516203703703704,0.9629629629629629,108
agentic,retrieval.accepted.ndcg@3,0.9508403339217816,0.9265856912307451,0.9730004080694257,108
agentic,retrieval.accepted.ndcg@5,0.9508403339217816,0.9265856912307451,0.9730004080694257,108
agentic,retrieval.accepted.precision@1,0.9074074074074074,0.8516203703703704,0.9629629629629629,108
agentic,retrieval.accepted.precision@3,0.3950617283950617,0.37037037037037035,0.41975308641975306,108
agentic,retrieval.accepted.precision@5,0.23703703703703705,0.22222222222222224,0.2518518518518519,108
agentic,retrieval.accepted.recall@1,0.8148148148148148,0.7498842592592593,0.8796296296296297,108
agentic,retrieval.accepted.recall@3,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
